種牡馬	2026出走数	2026頭数
ポエティックフレア	53	26
ヤマカツエース	20	7
サトノジェネシス	16	9
ウォータービルド	13	6
Tiz the Law	11	5
アスクピーターパン	11	5
Charlatan	10	4
Collected	10	4
オーヴァルエース	10	7
グァンチャーレ	10	5
Omaha Beach	9	3
St Mark's Basilica	9	6
アポロキングダム	9	4
アルバート	9	5
ハッピースプリント	9	4
Essential Quality	8	2
Global Campaign	8	2
Good Magic	8	6
サトノインプレッサ	8	2
サングレーザー	8	3
ストーミーシー	8	3
バンドワゴン	8	4
ヤングマンパワー	8	4
Bolt d'Oro	7	4
アイファーソング	7	4
マクマホン	7	4
レッドベルジュール	7	4
Beau Liam	6	3
Iffraaj	6	3
サンライズソア	6	3
レッドスパーダ	6	3
Authentic	5	3
Dandy Man	5	2
Munnings	5	3
Palace Malice	5	4
Sottsass	5	4
Study of Man	5	2
Too Darn Hot	5	2
オウケンワールド	5	1
クレスコグランド	5	2
スノードラゴン	5	3
Arrogate	4	4
Blue Point	4	3
Catholic Boy	4	2
Lea	4	1
Lucky Vega	4	2
Mitole	4	1
St Patrick's Day	4	1
Tom's d'Etat	4	2
Vekoma	4	3
Vino Rosso	4	2
アレスバローズ	4	2
ウインバリアシオン	4	2
エーシントップ	4	2
クラウンレガーロ	4	2
タツゴウゲキ	4	2
Cairo Prince	3	1
Cloud Computing	3	1
Dabirsim	3	1
Dawn Approach	3	2
Exceedance	3	2
Kantharos	3	1
Knicks Go	3	1
Lope de Vega	3	1
Masar	3	1
Maximum Security	3	1
Mo Town	3	1
Mor Spirit	3	1
Night of Thunder	3	2
Not This Time	3	2
Pivotal	3	1
Preservationist	3	1
Shalaa	3	1
Siyouni	3	2
Snitzel	3	1
エンパイアペガサス	3	1
シゲルカガ	3	1
シビルウォー	3	2
ショウナンバッハ	3	2
トウケイヘイロー	3	2
ナムラタイタン	3	1
ハギノハイブリッド	3	1
ミュゼスルタン	3	1
ロンドンタウン	3	1
ヴァンキッシュラン	3	1
Army Mule	2	1
Complexity	2	1
Daredevil	2	1
Dragon Pulse	2	1
Earthlight	2	1
Hat Trick	2	1
Home Affairs	2	1
Improbable	2	1
Khozan	2	1
Klimt	2	1
Known Agenda	2	1
Leinster	2	1
Magna Grecia	2	1
Maurice	2	2
Maxfield	2	1
Nathaniel	2	1
Shancelot	2	1
Take Charge Indy	2	1
Written Tycoon	2	1
Zarak	2	1
カフジテイク	2	1
キャプテンキング	2	1
シュウジ	2	1
スピリッツミノル	2	1
パレスマリス	2	1
マルターズアポジー	2	1
ヤマニンセラフィム	2	1
ユアーズトゥルーリ	2	1
レオアクティブ	2	1
ワンダーアキュート	2	1
Audible	1	1
Australia	1	1
Cajun Breeze	1	1
Capitalist	1	1
Dansili	1	1
Farhh	1	1
Ghaiyyath	1	1
Goldencents	1	1
I Am Invincible	1	1
Malibu Moon	1	1
Mastery	1	1
More Than Ready	1	1
Ocean Park	1	1
Oscar Performance	1	1
Ulysses	1	1
Unified	1	1
Union Rags	1	1
Victor Ludorum	1	1
Volatile	1	1
Will Take Charge	1	1
アポロソニック	1	1
エタリオウ	1	1
キタノコマンドール	1	1
ゴールデンバローズ	1	1
ジュンツバサ	1	1
セイクリムズン	1	1
ダイシンサンダー	1	1
ダイシンバルカン	1	1
ブルドッグボス	1	1
ポアゾンブラック	1	1
ポエティックフレアPoetic Flare	1	1
マスタリー	1	1
